date,population,state_abbr,fips
2000-01-01,4452.173,AL,01
2001-01-01,4467.634,AL,01
2002-01-01,4480.089,AL,01
2003-01-01,4503.491,AL,01
2004-01-01,4530.729,AL,01
2005-01-01,4569.805,AL,01
2006-01-01,4628.981,AL,01
2007-01-01,4672.84,AL,01
2008-01-01,4718.206,AL,01
2009-01-01,4757.938,AL,01
2010-01-01,4785.514,AL,01
2011-01-01,4799.642,AL,01
2012-01-01,4816.632,AL,01
2013-01-01,4831.586,AL,01
2014-01-01,4843.737,AL,01
2015-01-01,4854.803,AL,01
2016-01-01,4866.824,AL,01
2017-01-01,4877.989,AL,01
2018-01-01,4891.628,AL,01
2019-01-01,4907.965,AL,01
2020-01-01,5031.864,AL,01
2021-01-01,5050.38,AL,01
2022-01-01,5073.903,AL,01
2023-01-01,5108.468,AL,01
2000-01-01,627.963,AK,02
2001-01-01,633.714,AK,02
2002-01-01,642.337,AK,02
2003-01-01,648.414,AK,02
2004-01-01,659.286,AK,02
2005-01-01,666.946,AK,02
2006-01-01,675.302,AK,02
2007-01-01,680.3,AK,02
2008-01-01,687.455,AK,02
2009-01-01,698.895,AK,02
2010-01-01,713.982,AK,02
2011-01-01,722.349,AK,02
2012-01-01,730.81,AK,02
2013-01-01,737.626,AK,02
2014-01-01,737.075,AK,02
2015-01-01,738.43,AK,02
2016-01-01,742.575,AK,02
2017-01-01,740.983,AK,02
2018-01-01,736.624,AK,02
2019-01-01,733.603,AK,02
2020-01-01,732.964,AK,02
2021-01-01,734.923,AK,02
2022-01-01,733.276,AK,02
2023-01-01,733.406,AK,02
2000-01-01,5160.586,AZ,04
2001-01-01,5273.477,AZ,04
2002-01-01,5396.255,AZ,04
2003-01-01,5510.364,AZ,04
2004-01-01,5652.404,AZ,04
2005-01-01,5839.077,AZ,04
2006-01-01,6029.141,AZ,04
2007-01-01,6167.681,AZ,04
2008-01-01,6280.362,AZ,04
2009-01-01,6343.154,AZ,04
2010-01-01,6407.342,AZ,04
2011-01-01,6473.416,AZ,04
2012-01-01,6556.344,AZ,04
2013-01-01,6634.69,AZ,04
2014-01-01,6732.873,AZ,04
2015-01-01,6832.81,AZ,04
2016-01-01,6944.767,AZ,04
2017-01-01,7048.088,AZ,04
2018-01-01,7164.228,AZ,04
2019-01-01,7291.843,AZ,04
2020-01-01,7186.683,AZ,04
2021-01-01,7272.487,AZ,04
2022-01-01,7365.684,AZ,04
2023-01-01,7431.344,AZ,04
2000-01-01,2678.588,AR,05
2001-01-01,2691.571,AR,05
2002-01-01,2705.927,AR,05
2003-01-01,2724.816,AR,05
2004-01-01,2749.686,AR,05
2005-01-01,2781.097,AR,05
2006-01-01,2821.761,AR,05
2007-01-01,2848.65,AR,05
2008-01-01,2874.554,AR,05
2009-01-01,2896.843,AR,05
2010-01-01,2921.998,AR,05
2011-01-01,2941.038,AR,05
2012-01-01,2952.876,AR,05
2013-01-01,2960.459,AR,05
2014-01-01,2968.759,AR,05
2015-01-01,2979.732,AR,05
2016-01-01,2991.815,AR,05
2017-01-01,3003.855,AR,05
2018-01-01,3012.161,AR,05
2019-01-01,3020.985,AR,05
2020-01-01,3014.348,AR,05
2021-01-01,3028.443,AR,05
2022-01-01,3046.404,AR,05
2023-01-01,3067.732,AR,05
2000-01-01,33987.977,CA,06
2001-01-01,34479.458,CA,06
2002-01-01,34871.843,CA,06
2003-01-01,35253.159,CA,06
2004-01-01,35574.576,CA,06
2005-01-01,35827.943,CA,06
2006-01-01,36021.202,CA,06
2007-01-01,36250.311,CA,06
2008-01-01,36604.337,CA,06
2009-01-01,36961.229,CA,06
2010-01-01,37319.55,CA,06
2011-01-01,37636.311,CA,06
2012-01-01,37944.551,CA,06
